SteamSlot|GOGSlot|J|SteamFn|SteamB|GOGFn|GogB
+0x03C|+0x47C|0.50|0x0x57a200|13|0x0x76ca70|11
+0x04C|+0x47C|1.00|0x0x58d970|23|0x0x76ca70|11
+0x050|+0x47C|1.00|0x0x57ec10|14|0x0x76ca70|11
+0x054|+0x47C|1.00|0x0x58db80|23|0x0x76ca70|11
+0x064|+0x00C|0.46|0x0x711b10|101|0x0x454630|98
+0x070|+0x018|0.47|0x0x761b90|144|0x0x4f6ad0|99
+0x074|+0x01C|0.51|0x0x758740|423|0x0x4f41c0|392
+0x084|+0x02C|1.00|0x0x7125f0|47|0x0x453dd0|45
+0x088|+0x030|0.52|0x0x768f30|292|0x0x4e9610|307
+0x08C|+0x1B8|1.00|0x0x57ca90|11|0x0x4e8b80|10
+0x090|+0x038|1.00|0x0x712630|60|0x0x453fa0|58
+0x094|+0x03C|0.48|0x0x769e90|190|0x0x4f1750|178
+0x098|+0x040|0.54|0x0x769f50|260|0x0x4f1620|278
+0x09C|+0x044|0.43|0x0x759580|678|0x0x4e9750|702
+0x0A0|+0x048|0.40|0x0x765910|1460|0x0x4f0890|1348
+0x0A4|+0x04C|1.00|0x0x710e00|29|0x0x4542b0|26
+0x0A8|+0x050|1.00|0x0x712550|27|0x0x4542f0|24
+0x0C4|+0x06C|0.52|0x0x8bb010|1215|0x0x7834f0|862
+0x0C8|+0x070|0.77|0x0x8b7c00|252|0x0x787de0|273
+0x0D0|+0x078|0.71|0x0x8c23f0|158|0x0x783860|156
+0x0DC|+0x084|1.00|0x0x7d1080|53|0x0x6f7940|52
+0x0E0|+0x088|0.61|0x0x8b7d00|526|0x0x787f00|546
+0x120|+0x0C8|0.62|0x0x89c9c0|116|0x0x766d00|120
+0x124|+0x0CC|1.00|0x0x76af90|61|0x0x4e6730|63
+0x12C|+0x0D8|0.50|0x0x712cd0|37|0x0x454170|38
+0x130|+0x0D8|0.50|0x0x712d00|42|0x0x454170|38
+0x16C|+0x114|0.46|0x0x757b80|182|0x0x4f1810|172
+0x170|+0x118|0.55|0x0x759830|193|0x0x4f18c0|196
+0x184|+0x12C|1.00|0x0x712c70|94|0x0x455e90|93
+0x18C|+0x134|0.45|0x0x75c9c0|142|0x0x4e6770|143
+0x1A0|+0x148|1.00|0x0x759c50|65|0x0x4e8f50|60
+0x1A8|+0x150|1.00|0x0x76b160|92|0x0x4eb790|88
+0x1C0|+0x168|1.00|0x0x76af60|34|0x0x4e6e00|34
+0x1C8|+0x170|0.57|0x0x7de000|32|0x0x6f7670|23
+0x1D8|+0x180|0.58|0x0x767230|454|0x0x4ee8a0|472
+0x1E0|+0x188|0.70|0x0x7cea00|953|0x0x70dd00|920
+0x1E4|+0x18C|0.45|0x0x767a20|129|0x0x4e8450|131
+0x1EC|+0x194|0.69|0x0x7ce720|718|0x0x719e10|624
+0x204|+0x3F8|1.00|0x0x7f4610|16|0x0x77b310|13
+0x208|+0x3C0|0.40|0x0x75c6f0|64|0x0x7282d0|38
+0x20C|+0x3C0|0.40|0x0x75c730|64|0x0x7282d0|38
+0x210|+0x1B8|1.00|0x0x75c6e0|12|0x0x4e8b80|10
+0x214|+0x1BC|1.00|0x0x75c6b0|38|0x0x4e8b90|39
+0x218|+0x1C0|0.67|0x0x7585e0|101|0x0x4eecd0|106
+0x21C|+0x1C4|0.67|0x0x898a30|133|0x0x766960|106
+0x228|+0x1D0|0.53|0x0x8c4240|315|0x0x76faf0|228
+0x22C|+0x1D4|0.71|0x0x8b8af0|101|0x0x76fef0|67
+0x23C|+0x1E4|0.62|0x0x8ca490|157|0x0x76fe20|164
+0x240|+0x1E8|1.00|0x0x8b8cb0|34|0x0x76ccb0|34
+0x250|+0x1F8|0.43|0x0x7dd290|233|0x0x6f7e40|220
+0x254|+0x468|1.00|0x0x7f4590|13|0x0x76d2d0|13
+0x25C|+0x204|0.67|0x0x7f3290|40|0x0x6f4ce0|44
+0x260|+0x2BC|0.75|0x0x7f42e0|23|0x0x6f6100|13
+0x264|+0x20C|0.67|0x0x7f19c0|226|0x0x6fd530|227
+0x268|+0x210|0.50|0x0x7dc7d0|141|0x0x6f9e20|127
+0x26C|+0x2BC|0.75|0x0x7f3950|23|0x0x6f6100|13
+0x288|+0x230|0.55|0x0x7e4660|48|0x0x70c940|48
+0x29C|+0x244|0.50|0x0x7e9660|1993|0x0x7045c0|1974
+0x2A0|+0x248|0.46|0x0x7e9e30|1124|0x0x718a90|1131
+0x2A4|+0x24C|0.53|0x0x7ea8b0|949|0x0x718f00|996
+0x2A8|+0x250|0.57|0x0x7ea2a0|1549|0x0x7192f0|1514
+0x2AC|+0x254|0.40|0x0x7e8960|601|0x0x709320|649
+0x2B8|+0x260|0.51|0x0x7eee70|1291|0x0x70d300|1222
+0x2BC|+0x264|0.51|0x0x7d0e70|342|0x0x6fb550|350
+0x2C4|+0x26C|0.60|0x0x7f95b0|778|0x0x720f20|856
+0x2D0|+0x278|1.00|0x0x7e4a20|48|0x0x6f69a0|45
+0x2D4|+0x27C|0.56|0x0x8c46e0|76|0x0x76d830|64
+0x2D8|+0x280|0.63|0x0x7e2d00|999|0x0x6f85a0|958
+0x2DC|+0x284|0.61|0x0x7e28d0|1072|0x0x701ff0|1081
+0x2E8|+0x290|1.00|0x0x7f4530|37|0x0x6f9ac0|39
+0x300|+0x2A8|0.67|0x0x89c6c0|54|0x0x766920|55
+0x308|+0x2B0|0.44|0x0x8994f0|116|0x0x765510|105
+0x30C|+0x2B4|1.00|0x0x7d8cb0|32|0x0x6f60d0|27
+0x318|+0x2C0|0.60|0x0x8b9ee0|51|0x0x76d250|50
+0x31C|+0x47C|1.00|0x0x7f3ce0|9|0x0x76ca70|11
+0x320|+0x2C8|1.00|0x0x7f3cb0|38|0x0x6f7190|31
+0x324|+0x2CC|0.82|0x0x7daf00|76|0x0x6fae30|82
+0x330|+0x3F8|1.00|0x0x7f45a0|16|0x0x77b310|13
+0x338|+0x3F8|1.00|0x0x7f45b0|16|0x0x77b310|13
+0x33C|+0x2E4|0.71|0x0x89cf90|44|0x0x765580|41
+0x34C|+0x2F4|0.83|0x0x89cad0|104|0x0x7669d0|105
+0x350|+0x2F8|0.53|0x0x7f0210|717|0x0x70cc70|705
+0x358|+0x300|1.00|0x0x7d1200|82|0x0x703ba0|74
+0x364|+0x468|1.00|0x0x806310|16|0x0x76d2d0|13
+0x368|+0x3F8|1.00|0x0x8063b0|20|0x0x77b310|13
+0x378|+0x468|1.00|0x0x7f3cf0|16|0x0x76d2d0|13
+0x380|+0x328|0.54|0x0x8c1f20|405|0x0x76fc50|416
+0x384|+0x3F8|1.00|0x0x8c44d0|16|0x0x77b310|13
+0x38C|+0x3F8|1.00|0x0x8c5930|16|0x0x77b310|13
